ANNEE;SECTEUR_SCIAN;NB_LESION
2020;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4136
2020;FABRICATION DE BIENS NON DURABLES;7994
2020;SOINS DE SANTE ET ASSISTANCE SOCIALE;31652
2020;COMMERCE DE DETAIL;7230
2020;AGRICULTURE;875
2020;ADMINISTRATIONS PUBLIQUES;4393
2020;FABRICATION DE BIENS DURABLES;8925
2020;HEBERGEMENT ET SERVICES DE RESTAURATION;2355
2020;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;761
2020;AUTRES SERVICES;2333
2020;INFORMATION, CULTURE ET LOISIRS;889
2020;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;275
2020;COMMERCE DE GROS;3045
2020;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;654
2020;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;380
2020;FINANCE ET ASSURANCES;230
2020;SERVICES PUBLICS;249
2020;PECHE, CHASSE ET PIEGEAGE;23
2021;SOINS DE SANTE ET ASSISTANCE SOCIALE;26589
2021;ADMINISTRATIONS PUBLIQUES;4495
2021;AUTRES OU NON CODES;14761
2021;CONSTRUCTION;8826
2021;COMMERCE DE DETAIL;7325
2021;FABRICATION DE BIENS DURABLES;9778
2021;COMMERCE DE GROS;3054
2021;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;744
2021;AUTRES SERVICES;2365
2021;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;674
2021;HEBERGEMENT ET SERVICES DE RESTAURATION;2170
2021;TRANSPORT ET ENTREPOSAGE;5087
2021;FABRICATION DE BIENS NON DURABLES;7873
2021;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;4335
2021;SERVICES D'ENSEIGNEMENT;4626
2021;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;346
2021;SERVICES PUBLICS;309
2021;INFORMATION, CULTURE ET LOISIRS;901
2021;AGRICULTURE;890
2021;FINANCE ET ASSURANCES;176
2021;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;347
2021;PECHE, CHASSE ET PIEGEAGE;21
2022;SOINS DE SANTE ET ASSISTANCE SOCIALE;74517
2022;ADMINISTRATIONS PUBLIQUES;5728
2022;FABRICATION DE BIENS DURABLES;10297
2022;SERVICES IMMOBILIERS ET SERVICES DE LOCATION ET DE LOCATION A BAIL;439
2022;AUTRES OU NON CODES;15906
2022;FABRICATION DE BIENS NON DURABLES;7883
2022;HEBERGEMENT ET SERVICES DE RESTAURATION;2822
2022;CONSTRUCTION;9502
2022;AUTRES SERVICES;2546
2022;TRANSPORT ET ENTREPOSAGE;6193
2022;COMMERCE DE GROS;3144
2022;COMMERCE DE DETAIL;7216
2022;SERVICES D'ENSEIGNEMENT;5625
2022;AGRICULTURE;864
2022;SERVICES AUX ENTREPRISES, SERVICES RELATIFS AUX BATIMENTS ET AUTRES SERVICES DE SOUTIEN;5565
2022;EXTRACTION MINIERE, EXPLOITATION EN CARRIERE ET EXTRACTION DE PETROLE ET DE GAZ;890
2022;INFORMATION, CULTURE ET LOISIRS;1249
2022;SERVICES PROFESSIONNELS, SCIENTIFIQUES ET TECHNIQUES;791
2022;SERVICES PUBLICS;299
2022;FORESTERIE, EXPLOITATION FORESTIERE ET ACTIVITES DE SOUTIEN A LA FORESTERIE;285
2022;FINANCE ET ASSURANCES;179
2022;PECHE, CHASSE ET PIEGEAGE;22
